Release Coconut 62;;;;;;;;;;;;;;;;;;;;;;
Anmeldung;Tech.;Component (km);Trunk;Atrifactory Version-Build-ID;"first IEU-Deployment
(tt.mm.jj)";UE;2 Config EU / IEU;3 Configuration.yml;4 Release Notes;5 Dependencies;6 ITU verfügbar;7 Deployment Support verfügbar;8 CI/CD verfügbar;9 SW verfügbar;10 Config ITU;11 Abnahme IEU;12 Integrationstest IEU;13 Testplan verfügbar;14 Deploymentplan ITU;15 CAB-Freigabe für ITU;;
;;;;;;;;;;;;;;;;;;;;;;
U;Angular2;ClickAndRide-App;ANGULAR2\ClickAndRide;0.6.2-224.21790;;16;-1;1;1;-1;2;2;2;-1;-1;2;1;-1;2;2;Nachtrag RM aufgrund der Rückmeldung des PO;
n/a;C;DBCS;C\DBCS;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
U;CPP;KonBel-Belegung;CPP\KonBel\src\main\Belegung;;;4;2;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;CPP;KonBel-Einzelbelegung;CPP\KonBel\src\main\Belegung\Einzelbelegung;;;4;2;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;CPP;KonBel-Commons;CPP\KonBel\src\main\KonBelCommon;0.6.2;;Co;-1;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;CPP;KonBel-Konstruktion-2a;CPP\KonBel\src\main\Konstruktion;0.6.2;;2a;2;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
n/a;CPP;KonBel-Konstruktion-2b;CPP\KonBel\src\main\Konstruktion;;;2b;99;99;99;99;99;99;99;99;99;99;99;99;99;99;;
U;CPP;KonBel-Konstruktion-2c;CPP\KonBel\src\main\Konstruktion;;;2c;1;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;CPP;KonBel-Konstruktion-ConflictCheckerWorker;CPP/KonBel/src/main/Konstruktion;0.6.2;;2a;2;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;CPP;KonBel-Konstruktion-RoutenSucheService;CPP/KonBel/src/main/Konstruktion;;;2c;1;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;CPP;KonBel-Konstruktion-VNIStorageWorker;CPP/KonBel/src/main/Konstruktion;0.6.2;;2a;2;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;CPP;KonBel-Konstruktion-VNIWorker;CPP/KonBel/src/main/Konstruktion;0.6.2;;2a;2;1;1;1;2;2;2;-1;-1;-1;1;-1;2;-1;;
U;JAVA;ClickAndRide-RESTService;JAVA\ClickAndRide\click-and-ride-rest-service;0.6.2-279.21870;;16;-1;1;1;-1;2;2;2;-1;-1;2;1;-1;2;2;Nachtrag RM aufgrund der Rückmeldung des PO;
n/a;JAVA;TPS-Fahrlagenverwaltung-Server;JAVA\Fahrlagenverwaltung;;;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;;
;JAVA;TPN-Client;JAVA\TPN;;;20;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
