Meldung	Artefakt	Technologie	UE	Trunk	cmpName	cmpVer	cmpType
U	ClickAndRide-App-Android	Angular2	16a	ANGULAR2/ClickAndRide	ClickAndRideAndroid	0.6.4	app
C	ClickAndRide-App-IOS	Angular2	16a	ANGULAR2/ClickAndRide	ClickAndRideIOS	0.6.4	app
C	FZR-BelegungsZeitenRechner-FBZE	C	21	C/dbcs/services/FBZE	FBZE	n/a	exe
n/a	FZR-Fahrwegsknotenliste-FWKL	C	21	C/dbcs/services/FWKL	FWKL	n/a	exe
n/a	FZR-FahrBelegungszeiten-BZR	CPP	21	C/dbcs/services/BZR	BZR	n/a	exe
n/a	FZR-FahrtzeitenRechner-FZR	CPP	21	C/dbcs/services/FZR	FZR	n/a	exe
U	KonBel-Belegung	CPP	4	CPP/KonBel/src/main/Belegung	BelegungMain	0.6.3	exe
-1	KonBel-Commons	CPP	COM	CPP/KonBel/src/main/KonBelCommon	KonBel-Commons	0.4.3	lib
U	KonBel-Einzelbelegung	CPP	4	CPP/KonBel/src/main/Belegung/Einzelbelegung	EinzelbelegungMain	0.6.3	exe
n/a	KonBel-Konstruktion-BatchWorker	CPP	2a	CPP/KonBel/src/main/Konstruktion/Steuerung/src/main/BatchWorker	BatchWorker	n/a	exe
U	KonBel-Konstruktion-ConflictCheckerWorker	CPP	2a	CPP/KonBel/src/main/Konstruktion/KonstruktionVNI/src/main/ConflictCheckerWorker	VNIConflictChecker	0.6.4	exe
n/a	KonBel-Konstruktion-Dispatcher	CPP	2a	CPP/KonBel/src/main/Konstruktion/Steuerung/src/main/KonstruktionDispatcher	Dispatcher	n/a	exe
U	KonBel-Konstruktion-MainMessageQue	CPP	2a	CPP/KonBel/src/main/Konstruktion/Steuerung/src/main/MainMessageQueue	Konstruktion	0.6.3	exe
U	KonBel-Konstruktion-RoutenSucheService	CPP	2c	CPP/KonBel/src/main/Konstruktion	Routensuche	0.6.4	exe
n/a	KonBel-Konstruktion-STAWorker	CPP	2a	CPP/KonBel/src/main/Konstruktion/Steuerung/src/main/KonstruktionWorker	STAWorker	n/a	exe
U	KonBel-Konstruktion-VNIStorageWorker	CPP	2a	CPP/KonBel/src/main/Konstruktion/KonstruktionVNI/src/main/VNIStorageWorker	VNIStorageWorker	0.6.4	exe
U	KonBel-Konstruktion-VNIWorker	CPP	2a	CPP/KonBel/src/main/Konstruktion/KonstruktionVNI/src/main/VNIWorker	KonstruktionVNIWorker	0.6.4	exe
U	ClickAndRide-RESTService	JAVA	16a	JAVA/ClickAndRide/click-and-ride-rest-service	ClickAndRideRESTService	0.6.4	service
n/a	TPN-Client	JAVA	20	JAVA/TPN	TPN-Client	8.9.2.p00a?	exe
U	TPN-Server	JAVA	20	https://swd.noncd.rz.db.de/svn/scf-tm/TPN/dist/Testfactory/tpn8.9.2/p00b	jboss-tpn-server	8.9.2.p00a?	server
n/a	TPS-Digikap-SKAT-WMS-Server	JAVA	15	JAVA/SpurplanKonBelAdapterWMS	SKAT-WMS-Server	0.6.1	server
n/a	TPS-Fahrlagenverwaltung-Server	JAVA	15	JAVA/Fahrlagenverwaltung	Fahrlagenverwaltung	n/a	server
U	GFDZ-Database	ORACLE	17	ORACLE/UE19/GFDZ	GFDZ-Database	890P00	database
U	KonBel-Commons-Database	ORACLE	COM	svn/next/tests/ITU_DB_Scripte/KONBEL_DB/0.6.2	KonBel-Database	n/a	database
n/a	KonBel-Commons-TempInfra-Database	ORACLE	COM	ORACLE/TEMP_INFRA	KonBel-Commons-TempInfra-Database	n/a	database
U	RUTK-Database	ORACLE	19	ORACLE/UE19/RUTK	RuT-K Database	n/a	database
U	TPN-Database	ORACLE	20	https://swd.noncd.rz.db.de/svn/win-opta/dist/TPN/8.9.2/8.9.2.04.00	TPN-Database	n/a	database
n/a	TPS-DigiKap-AttributWert-Database	ORACLE	15	ORACLE/DIGIKAP_ATTRIBUT_WERT	AttributWertDatabase	n/a	database
n/a	TPS-DigiKap-SKAT-Database	ORACLE	15	ORACLE/DIGIKAP_SKAT	SKAT-Database	n/a	database
U	TPS-DigiKap-STA-Database	ORACLE	15	ORACLE/DIGIKAP_STA	STA-Database	n/a	database
n/a	TPS-DigiKap-Szenario-Database	ORACLE	15	ORACLE/DIGIKAP_SZENARIO	Szenario-Database	n/a	database
U	BPMN-DigiKap-Verwaltung	SAG	15	SAG/DigiKap.Verwaltung	DigiKap.Verwaltung	0.6.4	service
U	BPMN-IS-CommonUtils	SAG	15	SAG/IS.Common.Utils	IS.Common.Utils	0.6.4	service
U	BPMN-KonBel-Datentransfer	SAG	15	SAG/KonBel.Datentransfer	KonBel.Datentransfer	0.6.4	service
D	BPMN-ProzesseServices	SAG	15	SAG/ProzesseServices	ProzesseServices	0.5.6	service
U	BPMN-ProzessSteuerung-PhaseE	SAG	15	SAG/ProzessSteuerung.PhaseE	ProzessSteuerung.PhaseE	0.6.4	service
U	BPMN-ProzessSteuerung-PhaseG	SAG	15	SAG/ProzessSteuerung.PhaseG	ProzessSteuerung.PhaseG	0.6.4	service
U	ClickAndRide-BPMNService	SAG	16a	SAG/ClickAndRide	ClickAndRide	0.6.4	service
U	GFDZ-Client	Smalltak	17	Smalltalk/GFDZ	gz89000	8.9.0p00	exe
U	GFDZ-Server	Smalltak	17	Smalltalk/GFDZ_Server	gzs89000	8.9.0p00	im
U	RUTK-Client	Smalltak	19	Smalltalk/RUTK	895p00	8.9.5	exe
U	RUTK-Server	Smalltak	19	Smalltalk/RUTK_Server	rk890p00	8.9.5	exe
n/a	ESB-ClaimService	TIBCO	15	TIBCO/BW6/ClaimService	ClaimService	0.4.4	service
n/a	ESB-GrenzlastService	TIBCO	15	t.b.d.	GrenzlastService	n/a	service
n/a	ESB-InfrastrukturVerwaltung	TIBCO	15	TIBCO/BW6/Infrastrukturverwaltung	Infrastrukturverwaltung	0.6.1	service
n/a	ESB-ParameterSuche	TIBCO	15	TIBCO/BW6/ParameterSuche	ParameterSuche	0.5.6	mocked service
n/a	ESB-ParameterVerwaltung	TIBCO	15	TIBCO/BW6/ParameterVerwaltung	ParameterVerwaltung	0.6.2	service
n/a	ESB-Routensuche	TIBCO	15	TIBCO/BW6/Routensuche	Routensuche	0.6.1	mocked service
U	ESB-SharedFiles	TIBCO	15	TIBCO/BW6/SharedFiles	SharedFiles	n/a	service
n/a	ESB-SharedServices	TIBCO	15	TIBCO/BW6/SharedServices	SharedServices	n/a	embedded services
n/a	ESB-StammdatenBereitstellung	TIBCO	15	TIBCO/BW6/StammdatenBereitstellung	StammdatenBereitstellung	0.6.2	mocked service
n/a	ESB-SystemtrassenAnforderungsBereitstellung	TIBCO	15	TIBCO/BW6/SystemtrassenAnforderungsBereitstellung	SystemtrassenAnforderungsBereitstellung	0.6.2	service
U	ESB-SystemtrassenAnforderungsVerwaltung	TIBCO	15	TIBCO/BW6/SystemtrassenAnforderungsVerwaltung	SystemtrassenAnforderungsVerwaltung	0.6.3	service
n/a	ESB-SzenarioVerwaltung	TIBCO	15	TIBCO/BW6/SzenarioVerwaltung	SzenarioVerwaltung	0.6.3	service
U	ESB-TrassenProduktPruefenUndErgaenzen	TIBCO	15	TIBCO/BW6/TrassenProduktPruefenUndErgaenzen	TrassenProduktPruefenUndErgaenzen	0.6.3	service
